School_Code,County,Public_Private,School_District,City,School_Name,Enrollment,UTD_NUMBER,UTD_PERCENTAGE,PME_NUMBER,PME_PERCENTAGE,PBE_PERCENTAGE,PBE_PERCENTAGE,REPORTED,Grade,YEAR
6040356,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,CARLTON HILLS ELEMENTARY,68,67,99,0,0,1,1,Y,7,2012-2013
6068159,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,CARLTON OAKS ELEMENTARY,119,105,88,1,1,13,11,Y,7,2012-2013
6040364,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,CHET F. HARRITT ELEMENTARY,60,59,98,0,0,1,2,Y,7,2012-2013
6085161,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,HILL CREEK ELEMENTARY,82,79,96,0,0,3,4,Y,7,2012-2013
6040380,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,PROSPECT AVENUE ELEMENTARY,57,56,98,0,0,1,2,Y,7,2012-2013
6085153,SAN DIEGO,PUBLIC,SANTEE ELEMENTARY,SANTEE,RIO SECO ELEMENTARY,107,105,98,0,0,2,2,Y,7,2012-2013
6120893,SAN DIEGO,PUBLIC,SPENCER VALLEY ELEMENTARY,SIMI VALLEY,CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO,295,193,65,0,0,102,35,Y,7,2012-2013
6061998,SAN DIEGO,PUBLIC,SAN DIEGUITO UNION HIGH,SOLANA BEACH,EARL WARREN MIDDLE,338,320,95,0,0,18,5,Y,7,2012-2013
6067003,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,SPRING VALLEY,LA PRESA MIDDLE,248,245,99,0,0,3,1,Y,7,2012-2013
6038590,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,SPRING VALLEY,SPRING VALLEY MIDDLE,299,290,97,0,0,9,3,Y,7,2012-2013
6093272,SAN DIEGO,PUBLIC,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER,VALLEY CENTER MIDDLE,285,262,92,0,0,23,8,Y,7,2012-2013
3731601,SAN DIEGO,PUBLIC,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER,VALLEY CENTER PREP,10,9,90,0,0,1,10,Y,7,2012-2013
3730942,SAN DIEGO,PUBLIC,VISTA UNIFIED,VISTA,GUAJOME PARK ACADEMY CHARTER,242,229,95,0,0,13,5,Y,7,2012-2013
0120253,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,VISTA,MOUNTAIN PEAK CHARTER,55,41,75,0,0,14,25,Y,7,2012-2013
0118323,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,VISTA,NATIONAL UNIVERSITY ACADEMY,16,10,63,5,31,1,6,Y,7,2012-2013
6059802,SAN DIEGO,PUBLIC,VISTA UNIFIED,VISTA,RANCHO MINERVA MIDDLE,317,314,99,0,0,3,1,Y,7,2012-2013
6040653,SAN DIEGO,PUBLIC,VISTA UNIFIED,VISTA,VISTA ACADEMY OF VISUAL AND PERFORMING ARTS,108,105,97,0,0,3,3,Y,7,2012-2013
0114637,SAN DIEGO,PUBLIC,VISTA UNIFIED,VISTA,"VISTA MAGNET MIDDLE SCHOOL OF TECHNOLOGY, SCIENCE,",207,202,98,0,0,5,2,Y,7,2012-2013
6059810,SAN DIEGO,PUBLIC,VISTA UNIFIED,VISTA,WASHINGTON MIDDLE,229,227,99,0,0,2,1,Y,7,2012-2013
3730975,SAN DIEGO,PUBLIC,WARNER UNIFIED,WARNER SPRINGS,WARNER JUNIOR/SENIOR HIGH,12,12,100,0,0,0,0,Y,7,2012-2013
6133680,SAN DIEGO,PRIVATE,,CARLSBAD,PACIFIC RIDGE SCHOOL,79,76,96,0,0,3,4,Y,7,2012-2013
6975841,SAN DIEGO,PRIVATE,,CARLSBAD,ST. PATRICK,58,58,100,0,0,0,0,Y,7,2012-2013
7031289,SAN DIEGO,PRIVATE,,CHULA VISTA,CALVARY CHRISTIAN ACADEMY,30,30,100,0,0,0,0,Y,7,2012-2013
6981047,SAN DIEGO,PRIVATE,,CHULA VISTA,SAINT JOHN'S EPISCOPAL CHURCH,37,37,100,0,0,0,0,Y,7,2012-2013
6975874,SAN DIEGO,PRIVATE,,CHULA VISTA,ST ROSE OF LIMA SCHOOL,31,31,100,0,0,0,0,Y,7,2012-2013
6975866,SAN DIEGO,PRIVATE,,CHULA VISTA,ST. PIUS X,35,34,97,0,0,1,3,Y,7,2012-2013
6975650,SAN DIEGO,PRIVATE,,CORONADO,SACRED HEART PARISH SCHOOL,23,23,100,0,0,0,0,Y,7,2012-2013
6938849,SAN DIEGO,PRIVATE,,EL CAJON,CHRISTIAN JUNIOR / SENIOR HIGH,56,48,86,0,0,8,14,Y,7,2012-2013
6975510,SAN DIEGO,PRIVATE,,EL CAJON,HOLY TRINITY ELEMENTARY,13,13,100,0,0,0,0,Y,7,2012-2013
6975589,SAN DIEGO,PRIVATE,,EL CAJON,OUR LADY OF GRACE SCHOOL,33,33,100,0,0,0,0,Y,7,2012-2013
6975767,SAN DIEGO,PRIVATE,,EL CAJON,ST. KIERAN CATHOLIC SCHOOL,19,19,100,0,0,0,0,Y,7,2012-2013
7051352,SAN DIEGO,PRIVATE,,ENCINITAS,ENCINITAS COUNTRY DAY SCHOOL,10,9,90,0,0,1,10,Y,7,2012-2013
7077266,SAN DIEGO,PRIVATE,,ENCINITAS,"GRAUER SCHOOL, THE",160,140,88,10,6,10,6,Y,7,2012-2013
7091036,SAN DIEGO,PRIVATE,,ENCINITAS,RANCHO ENCINITAS ACADEMY,11,11,100,0,0,0,0,Y,7,2012-2013
6975759,SAN DIEGO,PRIVATE,,ENCINITAS,ST. JOHN THE EVANGELIST,57,55,96,0,0,2,4,Y,7,2012-2013
6975312,SAN DIEGO,PRIVATE,,ESCONDIDO,CALVIN CHRISTIAN,39,36,92,0,0,3,8,Y,7,2012-2013
6975437,SAN DIEGO,PRIVATE,,ESCONDIDO,ESCONDIDO CHRISTIAN,37,28,76,0,0,9,24,Y,7,2012-2013
6965511,SAN DIEGO,PRIVATE,,ESCONDIDO,GRACE LUTHERAN SCHOOL,41,38,93,1,2,2,5,Y,7,2012-2013
6975452,SAN DIEGO,PRIVATE,,ESCONDIDO,LIGHT AND LIFE CHRISTIAN,18,18,100,0,0,0,0,Y,7,2012-2013
6975791,SAN DIEGO,PRIVATE,,ESCONDIDO,ST. MARY'S SCHOOL,23,20,87,0,0,3,13,Y,7,2012-2013
7069065,SAN DIEGO,PRIVATE,,FALLBROOK,ST. PETER'S CATHOLIC SCHOOL,19,17,89,0,0,2,11,Y,7,2012-2013
6954648,SAN DIEGO,PRIVATE,,FALLBROOK,ZION LUTHERAN,10,10,100,0,0,0,0,Y,7,2012-2013
6975262,SAN DIEGO,PRIVATE,,LA JOLLA,ALL HALLOWS ACADEMY,24,24,100,0,0,0,0,Y,7,2012-2013
6938815,SAN DIEGO,PRIVATE,,LA JOLLA,BISHOP'S SCHOOL,93,92,99,0,0,1,1,Y,7,2012-2013
6993166,SAN DIEGO,PRIVATE,,LA JOLLA,"CHILDREN'S SCHOOL, THE",15,11,73,0,0,4,27,Y,7,2012-2013
6939045,SAN DIEGO,PRIVATE,,LA JOLLA,LA JOLLA COUNTRY DAY SCHOOL,96,93,97,0,0,3,3,Y,7,2012-2013
7051360,SAN DIEGO,PRIVATE,,LA JOLLA,SAN DIEGO FRENCH-AMERICAN SCHOOL,12,8,67,0,0,4,33,Y,7,2012-2013
6975932,SAN DIEGO,PRIVATE,,LA JOLLA,STELLA MARIS ACADEMY,31,31,100,0,0,0,0,Y,7,2012-2013
6965503,SAN DIEGO,PRIVATE,,LA MESA,CHRIST LUTHERAN ELEMENTARY,26,25,96,0,0,1,4,Y,7,2012-2013
6141907,SAN DIEGO,PRIVATE,,LA MESA,FOOTHILLS CHRISTIAN JR. HIGH SCHOOL,33,26,79,0,0,7,21,Y,7,2012-2013
6927636,SAN DIEGO,PRIVATE,,LA MESA,MT HELIX ACADEMY,17,17,100,0,0,0,0,Y,7,2012-2013
6965552,SAN DIEGO,PRIVATE,,LA MESA,ST. MARTIN ACADEMY,26,25,96,0,0,1,4,Y,7,2012-2013
6975742,SAN DIEGO,PRIVATE,,LEMON GROVE,SAINT JOHN OF THE CROSS CATHOLIC SCHOOL,61,60,98,0,0,1,2,Y,7,2012-2013
7093941,SAN DIEGO,PRIVATE,,NATIONAL CITY,FAITHFUL AMBASSADORS BIBLE BAPTIST ACADEMY,16,16,100,0,0,0,0,Y,7,2012-2013
6939326,SAN DIEGO,PRIVATE,,NATIONAL CITY,SAN DIEGO ACADEMY,24,23,96,0,0,1,4,Y,7,2012-2013
7090327,SAN DIEGO,PRIVATE,,OCEANSIDE,OCEANSIDE ADVENTIST ELEMENTARY,15,14,93,0,0,1,7,Y,7,2012-2013
6930499,SAN DIEGO,PRIVATE,,OCEANSIDE,OLD MISSION MONTESSORI SCHOOL,16,16,100,0,0,0,0,Y,7,2012-2013
6975817,SAN DIEGO,PRIVATE,,OCEANSIDE,ST. MARY STAR OF THE SEA ELEMENTARY,31,31,100,0,0,0,0,Y,7,2012-2013
6130777,SAN DIEGO,PRIVATE,,POWAY,NEWBRIDGE SCHOOL,12,12,100,0,0,0,0,Y,7,2012-2013
6975833,SAN DIEGO,PRIVATE,,POWAY,ST. MICHAEL'S SCHOOL,58,58,100,0,0,0,0,Y,7,2012-2013
6138689,SAN DIEGO,PRIVATE,,RAMONA,RAMONA FAITH ACADEMY,26,12,46,0,0,14,54,Y,7,2012-2013
6203491,SAN DIEGO,PRIVATE,,RANCHO SANTA FE,HORIZON PREP,40,35,88,0,0,5,13,Y,7,2012-2013
7093602,SAN DIEGO,PRIVATE,,RANCHO SANTA FE,"NATIVITY SCHOOL, THE",19,19,100,0,0,0,0,Y,7,2012-2013
6975270,SAN DIEGO,PRIVATE,,SAN DIEGO,ASELTINE SCHOOL,26,25,96,0,0,1,4,Y,7,2012-2013
6975296,SAN DIEGO,PRIVATE,,SAN DIEGO,BLESSED SACRAMENT ELEMENTARY,21,20,95,0,0,1,5,Y,7,2012-2013
6932214,SAN DIEGO,PRIVATE,,SAN DIEGO,CHABAD HEBREW ACADEMY,19,11,58,0,0,8,42,Y,7,2012-2013
6918072,SAN DIEGO,PRIVATE,,SAN DIEGO,CHILDREN'S CREATIVE AND PERFORMING ARTS,12,3,25,0,0,9,75,Y,7,2012-2013
6927586,SAN DIEGO,PRIVATE,,SAN DIEGO,"CHILD'S PRIMARY, THE",10,10,100,0,0,0,0,Y,7,2012-2013
6902902,SAN DIEGO,PRIVATE,,SAN DIEGO,CITY TREE CHRISTIAN,16,16,100,0,0,0,0,Y,7,2012-2013
6987770,SAN DIEGO,PRIVATE,,SAN DIEGO,FRANCIS PARKER SCHOOL,108,106,98,0,0,2,2,Y,7,2012-2013
6920722,SAN DIEGO,PRIVATE,,SAN DIEGO,GOOD SHEPHERD,24,24,100,0,0,0,0,Y,7,2012-2013
7008048,SAN DIEGO,PRIVATE,,SAN DIEGO,GRACE CHRISTIAN,29,18,62,0,0,11,38,Y,7,2012-2013
7052608,SAN DIEGO,PRIVATE,,SAN DIEGO,HERITAGE CHRISTIAN SCHOOL OF SAN DIEGO,73,47,64,0,0,26,36,Y,7,2012-2013
6975494,SAN DIEGO,PRIVATE,,SAN DIEGO,HOLY FAMILY ELEMENTARY,18,18,100,0,0,0,0,Y,7,2012-2013
6930465,SAN DIEGO,PRIVATE,,SAN DIEGO,HORIZON CHRISTIAN ACADEMY,65,59,91,3,5,3,5,Y,7,2012-2013
7080427,SAN DIEGO,PRIVATE,,SAN DIEGO,ISLAMIC SCHOOL OF SAN DIEGO,16,14,88,1,6,1,6,Y,7,2012-2013
7078298,SAN DIEGO,PRIVATE,,SAN DIEGO,MARANATHA CHRISTIAN SCHOOLS,49,44,90,1,2,4,8,Y,7,2012-2013
7103328,SAN DIEGO,PRIVATE,,SAN DIEGO,NATIVITY PREP ACADEMY,22,18,82,0,0,4,18,Y,7,2012-2013
6975569,SAN DIEGO,PRIVATE,,SAN DIEGO,"NAZARETH SCHOOL OF SAN DIEGO, INC",33,33,100,0,0,0,0,Y,7,2012-2013
6130983,SAN DIEGO,PRIVATE,,SAN DIEGO,NOTRE DAME ACADEMY,39,36,92,0,0,3,8,Y,7,2012-2013
6939177,SAN DIEGO,PRIVATE,,SAN DIEGO,OCEAN VIEW CHRISTIAN ACADEMY,24,22,92,0,0,2,8,Y,7,2012-2013
6975619,SAN DIEGO,PRIVATE,,SAN DIEGO,OUR LADY OF THE SACRED HEART,18,17,94,0,0,1,6,Y,7,2012-2013
6966071,SAN DIEGO,PRIVATE,,SAN DIEGO,OUR LADY'S SCHOOL,33,33,100,0,0,0,0,Y,7,2012-2013
6975668,SAN DIEGO,PRIVATE,,SAN DIEGO,SACRED HEART ACADEMY,20,20,100,0,0,0,0,Y,7,2012-2013
6907877,SAN DIEGO,PRIVATE,,SAN DIEGO,SAN DIEGO JEWISH ACADEMY,42,42,100,0,0,0,0,Y,7,2012-2013
6975924,SAN DIEGO,PRIVATE,,SAN DIEGO,SCHOOL OF THE MADELEINE,59,55,93,0,0,4,7,Y,7,2012-2013
6975890,SAN DIEGO,PRIVATE,,SAN DIEGO,SOILLE SAN DIEGO HEBREW DAY,21,21,100,0,0,0,0,Y,7,2012-2013
6975684,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. CHARLES BORROMEO ACADEMY,21,21,100,0,0,0,0,Y,7,2012-2013
6975692,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. CHARLES ELEMENTARY,26,26,100,0,0,0,0,Y,7,2012-2013
6975700,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. COLUMBA,23,22,96,0,0,1,4,Y,7,2012-2013
6975718,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. DIDACUS PARISH SCHOOL,25,22,88,0,0,3,12,Y,7,2012-2013
6137277,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. MICHAEL ACADEMY,12,12,100,0,0,0,0,Y,7,2012-2013
6975858,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. PATRICK'S ELEMENTARY,21,21,100,0,0,0,0,Y,7,2012-2013
6965560,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. PAUL'S LUTHERAN,14,12,86,0,0,2,14,Y,7,2012-2013
6966113,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. RITA'S SCHOOL,22,21,95,0,0,1,5,Y,7,2012-2013
6981054,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. THERESE ACADEMY,29,29,100,0,0,0,0,Y,7,2012-2013
6975882,SAN DIEGO,PRIVATE,,SAN DIEGO,ST. VINCENT DE PAUL,19,19,100,0,0,0,0,Y,7,2012-2013
6202386,SAN DIEGO,PRIVATE,,SAN DIEGO,THE ROCK ACADEMY,20,20,100,0,0,0,0,Y,7,2012-2013
7081631,SAN DIEGO,PRIVATE,,SAN DIEGO,WALDORF SCHOOL OF SAN DIEGO,25,5,20,0,0,20,80,Y,7,2012-2013
6991319,SAN DIEGO,PRIVATE,,SAN DIEGO,"WARREN-WALKER, INC.",46,45,98,0,0,1,2,Y,7,2012-2013
6136477,SAN DIEGO,PRIVATE,,SAN MARCOS,NORTH COUNTY CHRISTIAN SCHOOL,13,12,92,0,0,1,8,Y,7,2012-2013
7090244,SAN DIEGO,PRIVATE,,SAN MARCOS,SAINT JOSEPH ACADEMY,27,27,100,0,0,0,0,Y,7,2012-2013
6975593,SAN DIEGO,PRIVATE,,SAN YSIDRO,OUR LADY OF MT. CARMEL,35,35,100,0,0,0,0,Y,7,2012-2013
6927883,SAN DIEGO,PRIVATE,,SOLANA BEACH,SANTA FE CHRISTIAN SCHOOLS,88,82,93,1,1,5,6,Y,7,2012-2013
6975734,SAN DIEGO,PRIVATE,,SOLANA BEACH,ST. JAMES ACADEMY,18,16,89,1,6,1,6,Y,7,2012-2013
7082803,SAN DIEGO,PRIVATE,,SPRING VALLEY,"HEARTLAND CHRISTIAN HOMESCHOOL CENTER, INC.",11,10,91,1,9,0,0,Y,7,2012-2013
6975908,SAN DIEGO,PRIVATE,,SPRING VALLEY,SANTA SOPHIA ACADEMY,31,31,100,0,0,0,0,Y,7,2012-2013
6913644,SAN DIEGO,PRIVATE,,SPRING VALLEY,TRINITY CHRISTIAN,18,17,94,0,0,1,6,Y,7,2012-2013
7079551,SAN DIEGO,PRIVATE,,VISTA,CALVARY CHRISTIAN SCHOOL,17,16,94,0,0,1,6,Y,7,2012-2013
6975726,SAN DIEGO,PRIVATE,,VISTA,ST. FRANCIS OF ASSISI,17,17,100,0,0,0,0,Y,7,2012-2013
6987002,SAN DIEGO,PRIVATE,,VISTA,TRI-CITY CHRISTIAN SCHOOLS,51,44,86,0,0,7,14,Y,7,2012-2013
6037535,SAN DIEGO,PUBLIC,ALPINE UNION ELEMENTARY,ALPINE,JOAN MACQUEEN MIDDLE,211,203,96,0,0,8,4,Y,7,2013-2014
6108567,SAN DIEGO,PUBLIC,BONSALL UNION ELEMENTARY,BONSALL,NORMAN L. SULLIVAN MIDDLE,200,187,94,0,0,13,7,Y,7,2013-2014
6115315,SAN DIEGO,PUBLIC,BORREGO SPRINGS UNIFIED,BORREGO SPRINGS,BORREGO SPRINGS MIDDLE,40,37,93,0,0,3,8,Y,7,2013-2014
6037584,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,CAJON VALLEY MIDDLE,302,298,99,1,0,3,1,Y,7,2013-2014
0119255,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,EJE MIDDLE ACADEMY,60,58,97,0,0,2,3,Y,7,2013-2014
6037626,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,EMERALD MIDDLE,198,196,99,0,0,2,1,Y,7,2013-2014
6037659,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,GREENFIELD MIDDLE,215,212,99,0,0,3,1,Y,7,2013-2014
6112890,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,HILLSDALE MIDDLE,517,509,98,0,0,8,2,Y,7,2013-2014
0111005,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,LOS COCHES CREEK MIDDLE,220,216,98,0,0,4,2,Y,7,2013-2014
6093207,SAN DIEGO,PUBLIC,CAJON VALLEY UNION,EL CAJON,MONTGOMERY MIDDLE,270,266,99,0,0,4,1,Y,7,2013-2014
6118137,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,AVIARA OAKS MIDDLE,352,337,96,1,0,14,4,Y,7,2013-2014
0107557,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,CALAVERA HILLS MIDDLE,162,154,95,0,0,8,5,Y,7,2013-2014
6037816,SAN DIEGO,PUBLIC,CARLSBAD UNIFIED,CARLSBAD,VALLEY MIDDLE,346,329,95,1,0,16,5,Y,7,2013-2014
6116859,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,ARROYO VISTA CHARTER,82,80,98,0,0,2,2,Y,7,2013-2014
6115778,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,CHULA VISTA LEARNING COMMUNITY CHARTER,141,140,99,0,0,1,1,Y,7,2013-2014
6111322,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,DISCOVERY CHARTER,44,43,98,0,0,1,2,Y,7,2013-2014
0124321,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,HOWARD GARDNER COMMUNITY CHARTER,26,24,92,0,0,2,8,Y,7,2013-2014
6037980,SAN DIEGO,PUBLIC,CHULA VISTA ELEMENTARY,CHULA VISTA,MUELLER CHARTER (ROBERT L.),96,92,96,0,0,4,4,Y,7,2013-2014
6059570,SAN DIEGO,PUBLIC,CORONADO UNIFIED,CORONADO,CORONADO MIDDLE,256,236,92,0,0,20,8,Y,7,2013-2014
0127118,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,ALPINE,THE HEIGHTS CHARTER,22,11,50,0,0,11,50,Y,7,2013-2014
6038095,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,EL CAJON,DEHESA ELEMENTARY,25,24,96,0,0,1,4,Y,7,2013-2014
0127167,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,ESCONDIDO,COMMUNITY MONTESSORI CHARTER,14,5,36,0,0,9,64,Y,7,2013-2014
6119564,SAN DIEGO,PUBLIC,DEHESA ELEMENTARY,ESCONDIDO,DEHESA CHARTER,107,56,52,0,0,51,48,Y,7,2013-2014
0102590,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,BEAR VALLEY MIDDLE,390,375,96,0,0,15,4,Y,7,2013-2014
6116776,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,CLASSICAL ACADEMY,128,108,84,1,1,19,15,Y,7,2013-2014
6038194,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,DEL DIOS MIDDLE,280,278,99,0,0,2,1,Y,7,2013-2014
0101535,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,HERITAGE K-8 CHARTER,51,43,84,0,0,8,16,Y,7,2013-2014
6093215,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,HIDDEN VALLEY MIDDLE,409,406,99,1,0,2,0,Y,7,2013-2014
6038210,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,MISSION MIDDLE,322,321,100,0,0,1,0,Y,7,2013-2014
6105944,SAN DIEGO,PUBLIC,ESCONDIDO UNION,ESCONDIDO,RINCON MIDDLE,453,453,100,0,0,0,0,Y,7,2013-2014
6038277,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,FALLBROOK,JAMES E. POTTER INTERMEDIATE,211,196,93,2,1,13,6,Y,7,2013-2014
6038301,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,OCEANSIDE,MARY FAY PENDLETON ELEMENTARY,53,51,96,0,0,2,4,Y,7,2013-2014
6096515,SAN DIEGO,PUBLIC,FALLBROOK UNION ELEMENTARY,SAN CLEMENTE,SAN ONOFRE ELEMENTARY,47,47,100,0,0,0,0,Y,7,2013-2014
6117303,SAN DIEGO,PUBLIC,JAMUL-DULZURA UNION ELEMENTARY,JAMUL,GREATER SAN DIEGO ACADEMY,26,19,73,0,0,7,27,Y,7,2013-2014
6097182,SAN DIEGO,PUBLIC,JAMUL-DULZURA UNION ELEMENTARY,JAMUL,OAK GROVE MIDDLE,78,74,95,0,0,4,5,Y,7,2013-2014
0128421,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,HARBOR SPRINGS CHARTER,20,16,80,0,0,4,20,Y,7,2013-2014
3731239,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,JULIAN CHARTER,210,163,78,1,0,46,22,Y,7,2013-2014
6105845,SAN DIEGO,PUBLIC,JULIAN UNION ELEMENTARY,JULIAN,JULIAN JUNIOR HIGH,37,32,86,0,0,5,14,Y,7,2013-2014
6038491,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,LA MESA,LA MESA MIDDLE,291,257,88,1,0,33,11,Y,7,2013-2014
6038558,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,LA MESA,PARKWAY MIDDLE,409,400,98,0,0,9,2,Y,7,2013-2014
6067003,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,SPRING VALLEY,LA PRESA MIDDLE,275,275,100,0,0,0,0,Y,7,2013-2014
6038590,SAN DIEGO,PUBLIC,LA MESA-SPRING VALLEY,SPRING VALLEY,SPRING VALLEY MIDDLE,254,251,99,0,0,3,1,Y,7,2013-2014
6038350,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,LAKESIDE MIDDLE,270,260,96,0,0,10,4,Y,7,2013-2014
3731072,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,RIVER VALLEY CHARTER,36,19,53,0,0,17,47,Y,7,2013-2014
6085047,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,LAKESIDE,TIERRA DEL SOL MIDDLE,164,162,99,0,0,2,1,Y,7,2013-2014
0118323,SAN DIEGO,PUBLIC,LAKESIDE UNION ELEMENTARY,VISTA,NATIONAL UNIVERSITY ACADEMY,17,16,94,0,0,1,6,Y,7,2013-2014
6038673,SAN DIEGO,PUBLIC,LEMON GROVE,LA MESA,VISTA LA MESA ACADEMY,70,70,100,0,0,0,0,Y,7,2013-2014
6038608,SAN DIEGO,PUBLIC,LEMON GROVE,LEMON GROVE,LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,352,346,98,0,0,6,2,Y,7,2013-2014
6038681,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,CAMPO,CAMPO ELEMENTARY,35,32,91,0,0,3,9,Y,7,2013-2014
0126995,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,JACUMBA,JACUMBA MIDDLE,20,20,100,0,0,0,0,Y,7,2013-2014
0121582,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,LA MESA,COLLEGE PREPARATORY MIDDLE,58,54,93,0,0,4,7,Y,7,2013-2014
0119263,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,NEWPORT BEACH,CALIFORNIA PACIFIC CHARTER SCHOOL OF SAN DIEGO,18,9,50,0,0,9,50,Y,7,2013-2014
0119560,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,OCEANSIDE,SAN DIEGO NEIGHBORHOOD HOMESCHOOLS,12,2,17,3,25,7,58,Y,7,2013-2014
0127001,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,PINE VALLEY,PINE VALLEY MIDDLE,18,17,94,0,0,1,6,Y,7,2013-2014
6097190,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,POTRERO,POTRERO ELEMENTARY,30,27,90,0,0,3,10,Y,7,2013-2014
0127084,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,SAN DIEGO,ACADEMY OF ARTS AND SCIENCES: DEL MAR MIDDLE & HIGH (6-12),12,5,42,0,0,7,58,Y,7,2013-2014
0127050,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,SAN DIEGO,ACADEMY OF ARTS AND SCIENCES: EL CAJON MIDDLE AND HIGH (6-12),12,6,50,0,0,6,50,Y,7,2013-2014
0120253,SAN DIEGO,PUBLIC,MOUNTAIN EMPIRE UNIFIED,VISTA,MOUNTAIN PEAK CHARTER,56,40,71,0,0,16,29,Y,7,2013-2014
0101360,SAN DIEGO,PUBLIC,NATIONAL ELEMENTARY,NATIONAL CITY,INTEGRITY CHARTER,23,22,96,0,0,1,4,Y,7,2013-2014
0113522,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,CESAR CHAVEZ MIDDLE,238,234,98,0,0,4,2,Y,7,2013-2014
0101071,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,COASTAL ACADEMY,82,69,84,0,0,13,16,Y,7,2013-2014
6038830,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,JEFFERSON MIDDLE,198,196,99,0,0,2,1,Y,7,2013-2014
6038863,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,LINCOLN MIDDLE,252,245,97,1,0,6,2,Y,7,2013-2014
